"lemmatized_Ru1" "lemmatized_Ru2" "lemmatized_Ru3" "lemmatized_Ru4" "lemmatized_Ru5" "rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb"
"она" 0.574133849795567 0.575918384137562 0.605176928021573 0.736055948886203 0.643014572143881 0
"по" 0.691198622767377 0.631453371179399 0.553439004123356 0.500777067863927 0.680461344232127 0
"у" 0.525930707983645 0.378460652433255 0.561278083501874 0.552581592125712 0.620546508890934 0
"к" 0.612007746933505 0.580032086881402 0.587930953388834 0.475954066655155 0.444011726189202 0
"за" 0.563804605121584 0.45456415319429 0.495429816722324 0.455448109134864 0.551002503584191 0
"бы" 0.565526145900581 0.545065613558764 0.462505683332549 0.497539285097565 0.453640896154751 0
"говорить" 0.207445663869163 0.246822164630384 0.296317200507972 0.855853911241582 0.635525217726232 0
"же" 0.559500753174091 0.530667653955325 0.44525970869981 0.320540493869798 0.432242740675754 0
"из" 0.562083064342587 0.388744909292854 0.406064311807221 0.403643584873079 0.388376521943808 0
"такой" 0.567247686679578 0.333209922251018 0.346487308530486 0.317302711103436 0.407634861874906 0
"сказать" 0.223800301269636 0.314698259903739 0.338648229151968 0.539630461060266 0.538163610296792 0
"себя" 0.586184635248547 0.314698259903739 0.363733283163225 0.252547055776204 0.289945006740419 0
"только" 0.285775769313536 0.345551030482537 0.365301099038929 0.296796753583146 0.600218261185886 0
"вы" 0.562943834732085 0.189230326216628 0.318266622767822 0.24391296839924 0.366978366464811 0
"когда" 0.260813428018076 0.366119544201736 0.329241333897747 0.482429632187878 0.381957075300109 0
"если" 0.33828276307295 0.30852770578798 0.321402254519229 0.401485063028838 0.389446429717758 0
"джим" 0.256509576070583 0.575918384137562 0.540896477117727 0.301113797271628 0.285665375644619 0
"да" 0.126533247256294 0.339380476366778 0.363733283163225 0.378820583664307 0.547792780262341 0
"чтобы" 0.307295029051001 0.351721584598297 0.324537886270636 0.419832498704887 0.285665375644619 0
"мочь" 0.335700451904454 0.320868814019499 0.335512597400561 0.383137627352789 0.285665375644619 0
"еще" 0.233268775554121 0.30441400304414 0.324537886270636 0.270894491452253 0.440802002867353 0
"свой" 0.475145255003228 0.335266773622938 0.305724095762194 0.201821792436539 0.180814413797531 0
"тот" 0.28319345814504 0.339380476366778 0.322970070394933 0.307589362804352 0.300644084479918 0
"от" 0.365827415536906 0.327039368135259 0.285342489378047 0.239595924710758 0.272826482357221 0
"один" 0.24015493867011 0.333209922251018 0.319834438643526 0.269815230530133 0.347720026533713 0
"всё" 0.210888745427157 0.263276975605743 0.283774673502344 0.342125712312209 0.331671409924465 0
"который" 0.355498170862922 0.333209922251018 0.269664330621012 0.265498186841651 0.171185243831982 0
"мой" 0.303851947493006 0.446336747706611 0.354326387909004 0.181315834916249 0.160486166092483 0
"до" 0.354637400473424 0.228310502283105 0.225765486101312 0.188870661371093 0.263197312391672 0
"нибудь" 0.278889606197547 0.201571434448147 0.195976984462945 0.253626316698325 0.307063531123617 0
"ни" 0.263395739186572 0.285902340696861 0.263393067118198 0.241754446554999 0.237519525816875 0
"его" 0.296105013987519 0.246822164630384 0.210087327344277 0.220169228112588 0.194723214858879 0
"раз" 0.238433397891113 0.178946069357028 0.183434457457316 0.260101882231048 0.269616759035371 0
"ничто" 0.149774047772757 0.236537907770784 0.219494222598498 0.249309273009843 0.333811225472364 0
"время" 0.263395739186572 0.232424205026945 0.175595378078798 0.259022621308928 0.195793122632829 0
"или" 0.250484183344093 0.224196799539265 0.178731009830206 0.254705577620446 0.209701923694178 0
"вот" 0.0740262534968797 0.168661812497429 0.230468933728423 0.274132274218615 0.379817259752209 0
"там" 0.224661071659135 0.181002920728948 0.178731009830206 0.239595924710758 0.255707957974023 0
"очень" 0.213471056595653 0.213912542679666 0.199112616214352 0.199663270592298 0.274966297905121 0
"человек" 0.205724123090166 0.211855691307746 0.225765486101312 0.279528578829218 0.18723386044123 0
"кто" 0.151495588551754 0.224196799539265 0.228901117852719 0.247150751165602 0.253568142426123 0
"самый" 0.296965784377017 0.139865893290551 0.158349403446059 0.166206182006562 0.235379710268975 0
"потом" 0.0387346675274371 0.139865893290551 0.183434457457316 0.334570885857365 0.37125799756061 0
"другой" 0.189369485689692 0.209798839935826 0.202248247965759 0.213693662579865 0.252498234652173 0
"стать" 0.109317839466322 0.209798839935826 0.216358590847091 0.277370056984977 0.274966297905121 0
"нет" 0.15407789972025 0.185116623472788 0.232036749604126 0.225565532723191 0.257847773521922 0
"уже" 0.264256509576071 0.257106421489983 0.200680432090055 0.171602486617165 0.133738471743736 0
"знать" 0.137723262319776 0.211855691307746 0.21165514321998 0.226644793645312 0.235379710268975 0
"для" 0.256509576070583 0.211855691307746 0.169324114575984 0.147858746330513 0.156206534996683 0
"теперь" 0.226382612438132 0.15837755563783 0.178731009830206 0.16188913831808 0.201142661502578 0
