Source,Target,Weight,Type
lemmatized_Ru1,lemmatized_Ru2,12,undirected
lemmatized_Ru1,lemmatized_Ru3,29,undirected
lemmatized_Ru1,lemmatized_Ru4,18,undirected
lemmatized_Ru1,lemmatized_Ru5,3,undirected
lemmatized_Ru1,rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,14,undirected
lemmatized_Ru2,lemmatized_Ru1,12,undirected
lemmatized_Ru2,lemmatized_Ru3,60,undirected
lemmatized_Ru2,lemmatized_Ru4,30,undirected
lemmatized_Ru2,lemmatized_Ru5,18,undirected
lemmatized_Ru2,rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,1,undirected
lemmatized_Ru3,lemmatized_Ru1,29,undirected
lemmatized_Ru3,lemmatized_Ru2,60,undirected
lemmatized_Ru3,lemmatized_Ru4,40,undirected
lemmatized_Ru3,lemmatized_Ru5,30,undirected
lemmatized_Ru3,rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,3,undirected
lemmatized_Ru4,lemmatized_Ru1,18,undirected
lemmatized_Ru4,lemmatized_Ru2,30,undirected
lemmatized_Ru4,lemmatized_Ru3,40,undirected
lemmatized_Ru4,lemmatized_Ru5,60,undirected
lemmatized_Ru4,rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,27,undirected
lemmatized_Ru5,lemmatized_Ru1,3,undirected
lemmatized_Ru5,lemmatized_Ru2,18,undirected
lemmatized_Ru5,lemmatized_Ru3,30,undirected
lemmatized_Ru5,lemmatized_Ru4,60,undirected
lemmatized_Ru5,rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,15,undirected
rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,lemmatized_Ru1,14,undirected
rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,lemmatized_Ru2,1,undirected
rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,lemmatized_Ru3,3,undirected
rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,lemmatized_Ru4,27,undirected
rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb,lemmatized_Ru5,15,undirected
